CIRCUITO,NODO1_ID,NODO2_ID,geometry
NSA23L13,19057764,19057765,"LINESTRING Z (-74.88829222999999 5.575450890000013 10, -74.88846021900002 5.575630434999994 10)"
FLR23L15,19057411,19057412,"LINESTRING Z (-74.98241571599999 5.525873793000017 10, -74.98023916599999 5.524937099999988 10)"
NSA23L14,19039195,19039196,"LINESTRING Z (-74.934075356 5.574726109999972 10, -74.938456546 5.5733441250000055 10)"
NSA23L12,19061037,19061039,"LINESTRING Z (-74.78881016000003 5.618438347999984 10, -74.78792612000001 5.619172186000014 10)"
NSA23L14,19057869,19057880,"LINESTRING Z (-74.91975650199998 5.582037198000023 10, -74.92232648999999 5.583450325000001 10)"
FLR23L15,19057532,19057533,"LINESTRING Z (-74.95818351499997 5.590685711999981 10, -74.95698474599999 5.5916998089999765 10)"
NSA23L14,19057901,19057907,"LINESTRING Z (-74.94358688699998 5.594196742999998 10, -74.94779557200002 5.596406176000016 10)"
NSA23L12,19061296,19061297,"LINESTRING Z (-74.85101676400001 5.689640493000013 10, -74.84948003300002 5.691412839000009 10)"
NSA23L14,19057962,19057963,"LINESTRING Z (-74.94273424800002 5.634579189000021 10, -74.94276561200002 5.637345412000002 10)"
NSA23L14,91862990,19058140,"LINESTRING Z (-74.94031102000002 5.670256699999982 10, -74.942986249 5.670351540000013 10)"
NSA23L14,19102583,19057933,"LINESTRING Z (-74.946059935 5.619284241999992 10, -74.94486004999999 5.619096406999972 10)"
NSA23L12,19063093,19063094,"LINESTRING Z (-74.864285257 5.730436490999978 10, -74.86329356200002 5.73400462699999 10)"
FLR23L15,19057511,19057512,"LINESTRING Z (-74.98911108700003 5.6138391040000215 10, -74.98706303 5.614222159000008 10)"
NSA23L12,19061452,19061453,"LINESTRING Z (-74.77294254899999 5.6559457769999995 12, -74.77366869600002 5.656155582999986 15)"
NSA23L14,70774039,70774037,"LINESTRING Z (-74.95109795799999 5.596084738000002 10, -74.95135961400001 5.5958127810000065 10)"
NSA23L14,19058198,19058199,"LINESTRING Z (-74.92574306300003 5.7230471369999805 10, -74.92948280399997 5.724172679999981 10)"
NSA23L14,19058148,19058149,"LINESTRING Z (-74.90092712400002 5.613646748999997 10, -74.89981294900002 5.617104422000011 10)"
FLR23L15,19057536,19057537,"LINESTRING Z (-74.95644330099998 5.59177285200002 10, -74.95454878200002 5.592128355999989 10)"
FLR23L15,19057522,19057528,"LINESTRING Z (-75.00798449500002 5.626756994999994 10, -75.00707957399999 5.6311258680000265 10)"
NSA23L12,19061133,19061199,"LINESTRING Z (-74.86936427500001 5.586696933999974 10, -74.86923145200001 5.586761493999973 10)"
NSA23L14,19058123,19058127,"LINESTRING Z (-74.903888134 5.6661519610000255 10, -74.90656564599999 5.669467540000028 10)"
NSA23L12,19061482,19061483,"LINESTRING Z (-74.868450322 5.604522786000018 10, -74.86626296899999 5.605520234999972 10)"
NSA23L14,19058264,19058265,"LINESTRING Z (-74.976088892 5.708933554999987 12, -74.97703091400001 5.709630128000015 12)"
NSA23L14,19102571,19057888,"LINESTRING Z (-74.93601928700002 5.591260219999981 10, -74.93558773299998 5.592364718999988 10)"
NSA23L12,19061600,19061601,"LINESTRING Z (-74.851399377 5.63411173999998 10, -74.84651573299999 5.637743570999987 10)"
NSA23L12,19061223,19061330,"LINESTRING Z (-74.843632598 5.62088571999999 10, -74.84239226199998 5.6230496069999845 11)"
FLR23L15,19057439,19057593,"LINESTRING Z (-74.96118384800002 5.532921977000001 12, -74.96088105199999 5.533867944000008 12)"
NSA23L14,19057955,19057956,"LINESTRING Z (-74.949698318 5.632245264999995 10, -74.949734665 5.632172201000003 10)"
NSA23L14,19057992,19057993,"LINESTRING Z (-74.96864121099998 5.648889531999998 10, -74.96740025600002 5.645826074000013 10)"
NSA23L12,19061625,19061626,"LINESTRING Z (-74.80843336700002 5.663073371999985 10, -74.80359074500001 5.6669424390000245 10)"
NSA23L14,19102566,19057808,"LINESTRING Z (-74.92685184499999 5.586074887999985 10, -74.92617668600002 5.586952567000026 10)"
NSA23L14,19102572,19058119,"LINESTRING Z (-74.94922876300001 5.609590458000014 10, -74.951569 5.609711043000004 10)"
NSA23L12,19102413,19061201,"LINESTRING Z (-74.86546332199998 5.586748183999987 10, -74.863975316 5.586470576000011 10)"
FLR23L15,19057508,19057509,"LINESTRING Z (-75.001744073 5.607192343999998 10, -75.004578138 5.606961126999977 10)"
