CIRCUITO,geometry
FLR23L15,POINT Z (-75.00245701900002 5.520327860999998 0)
NSA23L14,POINT Z (-74.95201972299998 5.615252165000015 0)
FLR23L15,POINT Z (-74.962583279 5.531737744999987 0)
NSA23L12,POINT Z (-74.83902110600002 5.540901131999988 0)
NSA23L14,POINT Z (-74.933866771 5.665320539999982 0)
NSA23L14,POINT Z (-74.943608487 5.609333174000028 0)
NSA23L12,POINT Z (-74.85086020799997 5.5562719900000275 0)
NSA23L14,POINT Z (-74.93498679499999 5.667367860000013 0)
NSA23L12,POINT Z (-74.82382650699998 5.577292462999992 0)
NSA23L12,POINT Z (-74.84241563900002 5.705934302000003 0)
NSA23L14,POINT Z (-74.93255982400001 5.667717605000007 0)
NSA23L12,POINT Z (-74.79887144399999 5.670401701999992 0)
NSA23L12,POINT Z (-74.85726529599998 5.680025833000002 0)
NSA23L12,POINT Z (-74.768765529 5.655051780999997 0)
NSA23L12,POINT Z (-74.85673430899999 5.565066430999991 0)
NSA23L12,POINT Z (-74.88233132200003 5.729096448000007 0)
NSA23L14,POINT Z (-74.91001469700001 5.5811078749999865 0)
NSA23L12,POINT Z (-74.843632598 5.62088571999999 0)
NSA23L14,POINT Z (-74.95039539700002 5.590832782000007 0)
FLR23L15,POINT Z (-74.95826071300002 5.594039516999999 0)
NSA23L12,POINT Z (-74.85304472500002 5.660731100000021 0)
NSA23L14,POINT Z (-74.94177218099998 5.685955965000005 0)
FLR23L15,POINT Z (-74.95660826 5.532512489999988 0)
NSA23L12,POINT Z (-74.86033427699999 5.562023988000021 0)
NSA23L14,POINT Z (-74.921974127 5.617494050000005 0)
NSA23L12,POINT Z (-74.830401123 5.64218495099999 0)
NSA23L12,POINT Z (-74.83773396999999 5.732280290000006 0)
FLR23L15,POINT Z (-75.00938550400002 5.5479845720000185 0)
FLR23L15,POINT Z (-75.00831564200001 5.521638823999979 0)
NSA23L14,POINT Z (-74.95109385299997 5.629991206 0)
NSA23L12,POINT Z (-74.81688178500002 5.608556073999978 0)
NSA23L12,POINT Z (-74.82806389000001 5.698338889000013 0)
FLR23L15,POINT Z (-75.00125844799999 5.503485056999978 0)
NSA23L12,POINT Z (-74.847945294 5.708057594000024 0)
NSA23L13,POINT Z (-74.886255382 5.576999340999976 0)
NSA23L12,POINT Z (-74.86703411000002 5.653869360999977 0)
FLR23L15,POINT Z (-74.95580161999999 5.5880023999999935 0)
NSA23L14,POINT Z (-74.93664442 5.666984529999979 0)
NSA23L12,POINT Z (-74.811758301 5.656785732999992 0)
NSA23L12,POINT Z (-74.82070553800003 5.69277624099999 0)
FLR23L15,POINT Z (-74.98167931500001 5.514478408000002 0)
NSA23L12,POINT Z (-74.84742796 5.606456133999984 0)
FLR23L15,POINT Z (-75.04404005599997 5.521624194000026 0)
NSA23L14,POINT Z (-74.95656697099997 5.700395233999984 0)
NSA23L12,POINT Z (-74.78264202000003 5.637397599999986 0)
NSA23L12,POINT Z (-74.84879008000001 5.5837388900000064 0)
NSA23L12,POINT Z (-74.84064935100002 5.578906496999991 0)
FLR23L15,POINT Z (-75.030374413 5.507950946999983 0)
NSA23L14,POINT Z (-74.93219872499998 5.703024735999975 0)
NSA23L14,POINT Z (-74.935302573 5.570094820000008 0)
NSA23L12,POINT Z (-74.86511578099999 5.602631546999987 0)
NSA23L13,POINT Z (-74.885856961 5.5779096159999995 0)
FLR23L15,POINT Z (-74.99337235500002 5.533442923999985 0)
NSA23L12,POINT Z (-74.87662365 5.688406405000023 0)
NSA23L12,POINT Z (-74.85580241399998 5.547371095000017 0)
FLR23L15,POINT Z (-75.01947643400001 5.497642650999978 0)
NSA23L14,POINT Z (-74.93745727200002 5.713206881000019 0)
NSA23L14,POINT Z (-74.94895548699998 5.5749754340000095 0)
NSA23L12,POINT Z (-74.79102448499998 5.615404719000026 0)
FLR23L15,POINT Z (-74.96729741500002 5.5961054470000136 0)
NSA23L14,POINT Z (-74.98959088999999 5.629588539999986 0)
NSA23L14,POINT Z (-74.91031521399998 5.583252867999988 0)
FLR23L15,POINT Z (-74.96265542100002 5.526925026000015 0)
NSA23L12,POINT Z (-74.88125732999998 5.693321265000009 0)
FLR23L15,POINT Z (-74.975490659 5.509891111999991 0)
FLR23L15,POINT Z (-74.991822533 5.505225986000028 0)
NSA23L14,POINT Z (-74.90012346600003 5.594946591999985 0)
FLR23L15,POINT Z (-74.98669272699999 5.584991054999989 0)
NSA23L14,POINT Z (-74.930947242 5.704539097999998 0)
NSA23L12,POINT Z (-74.86521390399997 5.656460303000017 0)
NSA23L12,POINT Z (-74.87880613599998 5.711324929 0)
NSA23L12,POINT Z (-74.78706869799998 5.647576983000022 0)
NSA23L14,POINT Z (-74.91741327599999 5.580355322000003 0)
NSA23L12,POINT Z (-74.84619911800002 5.674616605999972 0)
NSA23L14,POINT Z (-74.93718613599998 5.667101301000002 0)
FLR23L15,POINT Z (-75.014523999 5.5100008559999765 0)
NSA23L12,POINT Z (-74.844625135 5.63940616299999 0)
NSA23L13,POINT Z (-74.89382660500002 5.573185306000028 0)
NSA23L14,POINT Z (-74.90531180099998 5.646553772000004 0)
NSA23L14,POINT Z (-74.95843730000001 5.7072085699999775 0)
NSA23L14,POINT Z (-74.93039549299999 5.700086546000023 0)
FLR23L15,POINT Z (-74.99580599299998 5.595781960000011 0)
FLR23L15,POINT Z (-74.96302998800002 5.5968988249999825 0)
FLR23L15,POINT Z (-75.00447675200002 5.498414778999972 0)
NSA23L13,POINT Z (-74.88788590000001 5.573449400000015 0)
